ubicacion,actualizado_dt,avance_actas_pct,actas_contabilizadas,actas_pendientes,actas_jee,total_actas,votantes_ausentes_est,votantes_emitidos_pendientes_est,votantes_emitidos_jee_est,votantes_validos_pendientes_est,votantes_validos_jee_est,candidato_o_tipo,agrupacion,porcentaje_valido_base,porcentaje_valido_usado_prior,votos_proyectados_faltantes,votos_proyectados_pendientes,votos_proyectados_jee,observacion
AIJA,2026-04-17 18:08:40,1.0,26,0,0,26,0.0,0.0,0.0,0.0,0.0,ROSARIO DEL PILAR FERNANDEZ BAZAN,UN CAMINO DIFERENTE,0.205,0.025,0.0,0.0,0.0,Data real
AIJA,2026-04-17 18:08:40,1.0,26,0,0,26,0.0,0.0,0.0,0.0,0.0,WOLFGANG MARIO GROZO COSTA,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,0.176,0.078,0.0,0.0,0.0,Data real
AIJA,2026-04-17 18:08:40,1.0,26,0,0,26,0.0,0.0,0.0,0.0,0.0,ARMANDO JOAQUIN MASSE FERNANDEZ,PARTIDO DEMOCRATICO FEDERAL,0.146,0.192,0.0,0.0,0.0,Data real
AIJA,2026-04-17 18:08:40,1.0,26,0,0,26,0.0,0.0,0.0,0.0,0.0,ANTONIO ORTIZ VILLANO,SALVEMOS AL PERÚ,0.146,0.287,0.0,0.0,0.0,Data real
AIJA,2026-04-17 18:08:40,1.0,26,0,0,26,0.0,0.0,0.0,0.0,0.0,ALVARO GONZALO PAZ DE LA BARRA FREIGEIRO,FE EN EL PERÚ,0.117,0.213,0.0,0.0,0.0,Data real
AIJA,2026-04-17 18:08:40,1.0,26,0,0,26,0.0,0.0,0.0,0.0,0.0,CARLOS ERNESTO JAICO CARRANZA,PERÚ MODERNO,0.117,0.188,0.0,0.0,0.0,Data real
AIJA,2026-04-17 18:08:40,1.0,26,0,0,26,0.0,0.0,0.0,0.0,0.0,WALTER GILMER CHIRINOS PURIZAGA,PARTIDO POLÍTICO PRIN,0.088,0.158,0.0,0.0,0.0,Data real
AIJA,2026-04-17 18:08:40,1.0,26,0,0,26,0.0,0.0,0.0,0.0,0.0,NAPOLEON BECERRA GARCIA,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,0.088,0.128,0.0,0.0,0.0,Data real
AIJA,2026-04-17 18:08:40,1.0,26,0,0,26,0.0,0.0,0.0,0.0,0.0,ROBERTO ENRIQUE CHIABRA LEON,UNIDAD NACIONAL,0.088,0.0,0.0,0.0,0.0,Data real
AIJA,2026-04-17 18:08:40,1.0,26,0,0,26,0.0,0.0,0.0,0.0,0.0,JOSE DANIEL WILLIAMS ZAPATA,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,0.029,0.014,0.0,0.0,0.0,Data real
UTCUBAMBA,2026-04-17 18:08:40,0.9115,309,0,30,339,2669.52,0.0,5665.61,0.0,4373.65,ROBERTO HELBERT SANCHEZ PALOMINO,JUNTOS POR EL PERÚ,38.05,38.051,1664.0,0.0,1664.0,Data real
UTCUBAMBA,2026-04-17 18:08:40,0.9115,309,0,30,339,2669.52,0.0,5665.61,0.0,4373.65,KEIKO SOFIA FUJIMORI HIGUCHI,FUERZA POPULAR,18.438,18.475,808.0,0.0,808.0,Data real
UTCUBAMBA,2026-04-17 18:08:40,0.9115,309,0,30,339,2669.52,0.0,5665.61,0.0,4373.65,RICARDO PABLO BELMONT CASSINELLI,PARTIDO CÍVICO OBRAS,12.842,12.848,562.0,0.0,562.0,Data real
UTCUBAMBA,2026-04-17 18:08:40,0.9115,309,0,30,339,2669.52,0.0,5665.61,0.0,4373.65,PABLO ALFONSO LOPEZ CHAU NAVA,AHORA NACIÓN - AN,4.75,4.756,208.0,0.0,208.0,Data real
UTCUBAMBA,2026-04-17 18:08:40,0.9115,309,0,30,339,2669.52,0.0,5665.61,0.0,4373.65,RAFAEL BERNARDO LÓPEZ ALIAGA CAZORLA,RENOVACIÓN POPULAR,2.95,3.041,133.0,0.0,133.0,Data real
UTCUBAMBA,2026-04-17 18:08:40,0.9115,309,0,30,339,2669.52,0.0,5665.61,0.0,4373.65,JORGE NIETO MONTESINOS,PARTIDO DEL BUEN GOBIERNO,2.427,2.503,109.0,0.0,109.0,Data real
UTCUBAMBA,2026-04-17 18:08:40,0.9115,309,0,30,339,2669.52,0.0,5665.61,0.0,4373.65,CARLOS GONSALO ALVAREZ LOAYZA,PARTIDO PAÍS PARA TODOS,2.354,2.389,105.0,0.0,105.0,Data real
UTCUBAMBA,2026-04-17 18:08:40,0.9115,309,0,30,339,2669.52,0.0,5665.61,0.0,4373.65,CESAR ACUÑA PERALTA,ALIANZA PARA EL PROGRESO,1.959,1.921,84.0,0.0,84.0,Data real
UTCUBAMBA,2026-04-17 18:08:40,0.9115,309,0,30,339,2669.52,0.0,5665.61,0.0,4373.65,JOSE LEON LUNA GALVEZ,PODEMOS PERÚ,1.933,1.898,83.0,0.0,83.0,Data real
UTCUBAMBA,2026-04-17 18:08:40,0.9115,309,0,30,339,2669.52,0.0,5665.61,0.0,4373.65,GEORGE PATRICK FORSYTH SOMMER,PARTIDO DEMOCRÁTICO SOMOS PERÚ,1.45,1.407,62.0,0.0,62.0,Data real
